"COMUNA_CODIGO","COMUNA_NOMBRE","COMUNA_CODIGO_PROVINCIA"
"219","Gorbea","32"
"220","Loncoche","32"
"221","Toltén","32"
"222","Teodoro Schmidt","32"
"223","Saavedra","32"
"224","Carahue","32"
"225","Nueva Imperial","32"
"226","Galvarino","32"
"227","Padre Las Casas","32"
"228","Valdivia","33"
"229","Mariquina","33"
"230","Lanco","33"
"231","Los Lagos","33"
"232","Futrono","33"
"233","Corral","33"
"234","Máfil","33"
"235","Panguipulli","33"
"236","La Unión","33"
"237","Paillaco","33"
"238","RíoBueno","33"
"239","Lago Ranco","33"
"240","Osorno","34"
"241","San Pablo","34"
"242","Puyehue","34"
"243","Puerto Octay","34"
"244","Purranque","34"
"245","Río Negro","34"
"246","San Juan de la Costa","34"
"248","Puerto Varas","35"
"249","Cochamó","35"
"250","Calbuco","35"
"251","Maullín","35"
"252","Los Muermos","35"
"253","Fresia","35"
"254","Llanquihue","35"
"255","Frutillar","35"
"256","Castro","36"
"257","Ancud","36"
"258","Quemchi","36"
"259","Dalcahue","36"
"260","Curaco De Vélez","36"
"261","Quinchao","36"
"262","Puqueldón","36"
"263","Chonchi","36"
"264","Queilén","36"
"265","Quellón","36"
"266","Chaitén","37"
"267","Hualaihué","37"
"268","Futaleufú","37"
"269","Palena","37"
"270","Coihaique","38"
"271","Lago Verde","38"
"272","Aisén","39"
"273","Cisnes","39"
"274","Guaitecas","39"
"275","Chile Chico","40"
"276","Río Ibáñez","40"
"277","Cochrane","41"
"278","O?Higgins","41"
"279","Tortel","41"
"280","Natales","42"
"281","Torres del Paine","42"
"282","Punta Arenas","43"
"283","Río Verde","43"
"284","Laguna Blanca","43"
"285","San Gregorio","43"
"286","Porvenir","44"
"287","Primavera","44"
"288","Timaukel","44"
"289","Navarino","45"
"290","Antártica","45"
"291","Santiago","46"
"292","Independencia","46"
"293","Conchalí","46"
"294","Huechuraba","46"
"295","Recoleta","46"
"296","Providencia","46"
"297","Vitacura","46"
"298","Lo Barnechea","46"
"299","Las Condes","46"
"300","Ñuñoa","46"
"301","La Reina","46"
"302","Macul","46"
"303","Peñalolén","46"
"304","La Florida","46"
"305","San Joaquín","46"
"306","La Granja","46"
"307","La Pintana","46"
"308","San Ramón","46"
"309","San Miguel","46"
"310","La Cisterna","46"
"311","El Bosque","46"
"312","Pedro Aguirre Cerda","46"
"313","Lo Espejo","46"
"314","Estación Central","46"
"315","Cerrillos","46"
"316","Maipú","46"
"317","Quinta Normal","46"
"318","Lo Prado","46"
"319","Pudahuel","46"
"320","Cerro Navia","46"
"321","Renca","46"
"322","Quilicura","46"
"323","Colina","47"
"324","Lampa","47"
"325","TilTil","47"
"326","Puente Alto","48"
"327","San José de Maipo","48"
"328","Pirque","48"
"329","San Bernardo","49"
"330","Buin","49"
"331","Paine","49"
"332","Calera De Tango","49"
"333","Melipilla","50"
"334","Maria Pinto","50"
"335","Curacaví","50"
"336","Alhué","50"
"337","San Pedro","50"
"338","Talagante","51"
"339","Peñaflor","51"
"340","Isla de Maipo","51"
"341","El Monte","51"
"342","Padre Hurtado","51"
"343","Alto Hospicio","3"
"1","Arica","1"
"22","Copiapó","8"
"66","Valparaíso","17"
"247","Puerto Montt","35"
"344","Alto del Bio Bio","28"
"345","Cabo de Horno","45"
"346","Chol Chol","32"
"347","Hualpen","29"
"0","Sin información","0"
"348","Río Bueno","52"
